case,metric,mean,min,max,CV
MS-FNO,MAE,0.002590030615334399,0.0003038069698959589,0.019456930458545685,0.8339492209870651
MS-FNO,MAPE,0.28069891981966794,0.02946186624467373,2.650294065475464,0.9061292619506743
MS-FNO,LpLoss,0.004017155933717731,0.0004967410350218415,0.031251758337020874,0.8319112026182082
MS-FNO,RMSRE,0.2810599606540054,0.029491251334547997,2.6553032398223877,0.9063942907246924
MBCNNSR + MS-FNO,MAE,0.04723309618793428,0.021389896050095558,0.19669440388679504,0.45256105209066605
MBCNNSR + MS-FNO,MAPE,4.903853798151016,2.131030321121216,19.486499786376953,0.4735377588828577
MBCNNSR + MS-FNO,LpLoss,0.05978468372859061,0.02584923431277275,0.2587839365005493,0.47153163877223137
MBCNNSR + MS-FNO,RMSRE,4.909736113786697,2.133356809616089,19.5196475982666,0.4736642800460795
ResNet,MAE,0.01777728220075369,0.002696515526622534,0.08787459880113602,0.6453674084873074
ResNet,MAPE,1.8460725312530994,0.2820283770561218,10.764403343200684,0.6567393277004523
ResNet,LpLoss,0.02087721434584819,0.0032993967179208994,0.08708761632442474,0.6134587062956336
ResNet,RMSRE,1.848247240126133,0.2823292016983032,10.782891273498535,0.6568176470935347
MBCNNSR + ResNet,MAE,0.10777893490344286,0.06332986801862717,0.2173709273338318,0.22287171541488346
MBCNNSR + ResNet,MAPE,10.455989394664764,6.912137508392334,22.050003051757812,0.20675990159576985
MBCNNSR + ResNet,LpLoss,0.18202826863527297,0.10536513477563858,0.32202261686325073,0.19276239164223827
MBCNNSR + ResNet,RMSRE,10.46738944864273,6.92021369934082,22.083539962768555,0.20681502913214092
